CDB_ID,NOME,ENDERECO,IMAGEM,PETISCO,DESCRICAO
032,CANELA AMARELA,"PRAÇA LEONARDO GUTIERREZ, 195, GUTIERREZ, BELO HORIZONTE, MG, BRASIL",https://s2-g1.glbimg.com/-qsWY4DfS3EDoi1og3D1TJ5sDyU=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/B/6/njOWouQ6WxMvM9UjvMdw/canelaamarela-bolanarede-bh-2025-isaquerodrigues-unibh-9287.jpg,Bola Na Rede,Almôndegas bovinas sobre a cama de creme de queijos acompanhada de torradas de pão de alho e finalizada com tomatinho e manjericão. Acompanha molho da casa.
033,CERVEJARIA PAJÉ,"RUA CAPIM BRANCO, 419, VISTA ALEGRE, BELO HORIZONTE, MG, BRASIL",https://s2-g1.glbimg.com/vqLhgeL6sDpgWVzAPszLujmwUDQ=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/4/B/fQTuA9Q1CvBTIBWVxQwg/cervejariapaje-xukurukariri-bh-2025-mylenaizis-unibh-8027.jpg,XUKURU KARIRI,"Amassado de mandioca amarela, temperada e recheada com bacon e queijo, acompanhado de calda de abacaxi ?smooth Cayenne? e molho ""Buffalo"" picante."
034,CHOPP DA ESQUINA,"RUA GARRET, 263, NOVA GRANADA, BELO HORIZONTE, MG, BRASIL",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19152143/choppdaesquina_roledochopp_bh_2025_isaquerodrigues_unibh-8826-scaled.jpg,Rolê do Chopp,"Bife a rolê, acompanha farofa de torresmo"
035,ESPETTINHO.COM,"RUA ELI SEABRA FILHO, 510, BURITIS, BELO HORIZONTE, MG, BRASIL",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19153114/espettinhocom_mineirimgratinado_bh_2025_rodneycosta_unibh-9129-1536x1024.jpg,MINEIRINHO GRATINADO 2.5,"Almôndegas suínas gratinadas com molho de tomate caseiro e mussarela. Acompanha 1 Espetinho de ""Sacanagem"" e um licor de doce de leite de entrada."
036,GERALDIN DA CIDA,"RUA CONTRIA, 1459, GRAJAU, BELO HORIZONTE, MG, BRASIL",https://s2-g1.glbimg.com/mjTXAnmEmOh-_e3ONTeaMLR0sOU=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/Q/l/jpUiATQoi0YzBxERXRXw/geraldimdacida-soumineirouai-bh-2025-rodneycosta-unibh-8364.jpg,"Sô mineiro, uai!",Alcatra com farofa de jilo com bacon. Acompanha uma sobremesa de doce de leite com castanha e bacon.
037,PÉ DE GOIABA,"AVENIDA AMAZONAS, 4676, NOVA SUISSA, BELO HORIZONTE, MG, BRASIL",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044957/pedegoiaba_bodasdeprata_bh_2025_isaquerodrigues_unibh-8633-scaled.jpg,Bordas de Prata - 25 ANOS JUNTOS,"Lombo com queijo ao molho de abacaxi picante, farofa de bacon, torresminho a pururuca e couve"
038,PRADO BEER,"AVENIDA FRANCISCO SA, 590, PRADO, BELO HORIZONTE, MG, BRASIL",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19160250/pradobeer_amontadinho_bh_2025_isaquerodrigues_unibh-8981-scaled.jpg,Amontadinho,"Angu com carne de panela, chips de jiló e molho a base de milho e cachaça"
039,QUIOXQUE BOTEQUIM CARIOCA,"RUA HENRIQUE BADARO PORTUGAL, 157, BURITIS, BELO HORIZONTE, MG, BRASIL",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19170333/quioxque_estamosdeparabens_bh_2025_isaquerodrigues_unibh-7820-scaled.jpg,ESTAMOS DE PARABÉNS,"BOLO DE MANDIOCA COM CARNE SECA COM COBERTURA DE CEBOLA CARAMELIZADA E FONDUTA DE QUEIJO, SERVIDO COM PELINHA DE COSTELINHA COM TOQUE DE LIMAO"
040,US MOTOCA,"RUA BLENDA, 91, CAMARGOS, BELO HORIZONTE, MG, BRASIL",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044259/usmotoca_bodasdeprata_bh_2025_mylenaizis_unibh-9157-scaled.jpg,Bodas de Prata,"Polpetas de carne recheadas com queijo servido sobre aligot de batata e molho de tomates rustico, gratinado e guarnecido de crispy de jilo e pickles de cebola rocha."
041,BAR DO NELSON,"RUA VICENTE RISOLA, 1000, SANTA INES, BELO HORIZONTE, MG, BRASIL",https://s2-g1.glbimg.com/xOoZoKRrKnEHiupBdo0r3VB0WL8=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/w/9/DD84CfRTiAfsTlSXjmgA/bardonelson-bolinhodeprata-bh-2025-amandacantanhede-unibh-9036.jpg,Boudas de Prata,Bolinho de feijoada
