ID_ATIV_ECON_ESTABELECIMENTO,ID_CDB,CNAE_PRINCIPAL,DATA_INICIO_ATIVIDADE,IND_POSSUI_ALVARA,ENDERECO_COMPLETO,NOME,NOME_FANTASIA,GEOMETRIA,COORDS,COORD_GEO
223781,000,5611204.0,2019-07-09,NÃO,"RUA INGLATERRA, 287, JARDIM LEBLON, BELO HORIZONTE, MG, BRASIL",NELY PEREIRA SOUZA 03603500628,BAR DO CAZUSA,POINT (606120.78 7807237.99),"(-19.8285459, -43.9866491)","(-19.8279611, -43.9866491)"
219011,000,5611201.0,2019-05-27,NÃO,"RUA JABOTICABAL, 1025, JARDIM AMERICA, BELO HORIZONTE, MG, BRASIL",CAROLINA TRIGUEIRO PAPA 09398203669,PAPA QUALIDADE,POINT (607421.39 7793887.99),"(-19.9480548, -43.9726759)","(-19.9485121, -43.973454)"
219333,000,5611205.0,2019-05-29,NÃO,"PRAÇA ESTEVAO LUNARDI, 50, HORTO, BELO HORIZONTE, MG, BRASIL",BAR E DISTRIBUIDORA RESENHA FACIL LTDA,RESENHA CERTA,POINT (613182.68 7797920.96),"(-19.9112465, -43.9186009)","(-19.9117468, -43.9186527)"
219347,000,5611201.0,2019-05-29,NÃO,"RUA WALDOMIRO LOBO, 700, GUARANI, BELO HORIZONTE, MG, BRASIL",RESTAURANTE E CHURRASCARIA GUARANI LTDA,RESTAURANTE GUARANI,POINT (612518.15 7805416.92),"(-19.8463582, -43.9316727)","(-19.8440577, -43.9254575)"
229106,000,5611201.0,2019-08-26,NÃO,"RUA NOSSA SENHORA DE FATIMA, 1721, NOSSA SENHORA DE FATIMA, BELO HORIZONTE, MG, BRASIL",JOSIELMA MARIA DA SILVA 05298368310,ESTABELECIMENTO SEM NOME,POINT (614750.40 7795115.65),"(-19.9366687, -43.9045978)","(-19.9370014, -43.903502)"
229111,000,5611201.0,2019-08-26,NÃO,"RUA MARIA DE FATIMA, 129, NAZARE, BELO HORIZONTE, MG, BRASIL",JANE PINHEIRO DOS SANTOS 02958223680,JANE,POINT (615212.42 7804087.95),"(-19.855978, -43.8997351)","(-19.8559083, -43.8996481)"
230059,000,5611201.0,2019-09-03,NÃO,"AVENIDA MIGUEL PERRELA, 440, CASTELO, BELO HORIZONTE, MG, BRASIL",ESQUINA 440 COMERCIO DE ALIMENTOS LTDA,ESQUINA 440 STEAKHOUSE,POINT (605002.92 7801582.82),"(-19.875574, -43.9945389)","(-19.8791184, -43.9970013)"
230061,000,5611201.0,2019-09-03,NÃO,"RUA CONEGO TRINDADE, 739, JARDIM LEBLON, BELO HORIZONTE, MG, BRASIL",DIEGO MANOEL DE SOUZA 07970494609,DIGDIG LANCHES,POINT (605675.15 7807827.16),"(-19.821705, -43.9909804)","(-19.8226618, -43.9909375)"
231021,000,5611205.0,2019-09-10,NÃO,"RUA ANTONIO EUSTAQUIO PINHEIRO, 40, SOLAR DO BARREIRO, BELO HORIZONTE, MG, BRASIL",MARIA REGINA BOTELHO SILVA 73818968691,CANTINHO DO BOTECO,POINT (603546.66 7787123.26),"(-20.0109156, -44.0094186)","(-20.009844, -44.0100961)"
231025,000,5611204.0,2019-09-10,NÃO,"RUA MARIA DE SOUZA ALVES, 311, MANACAS, BELO HORIZONTE, MG, BRASIL",ALOISIO MAFRA DE MELO 60946032653,BABETTE FAZER CULINARIO,POINT (604965.54 7800045.18),"(-19.89275, -43.9975914)","(-19.8930136, -43.9972708)"
